4	Mexiko chcieť zaručiť bezpečnosť občan	Mexiko byť priať vyhnúť sa veľký násilie
4.2	ruský prezident Vladimíra tvrdiť že rozhodnutie ukončiť implementácia zmluva o konvenčný sila v Európa byť reakcia na USA plán na zriadenie mesto protiraketový obrana vo východný Európa a na to že nato neratifikovať zmenený a doplnený verzia zmluva	ruský prezident Vladimíra uvádzať že rozhodnutie byť reakcia na u s. plán na zriadenie mesto protiraketový obrana vo východný Európa a na to že nato neratifikovať zmenený a doplnený verzia zmluva
2.6	holandský národný výskumný inštitút ktorý v 50. rok uskutočňovať pre holandský ministerstvo obrana experiment s chemický zbraň	novinár sa dozvedieť o experiment s chemický zbraň v archív ministerstvo obrana
3.4	podľa správa dodávateľ bezpečnostný softvér byť čínsky vládnuť hacker v popredie kybernetický studený vojna	vládnuť hacker v Čína byť na čelo rozvíjajúci sa počítačový studený vojna
3.6	zmluva obmedzovať počet lietadlo tank a iný nejadrový ťažký zbraň po celieť Európa a bola podpísaný prvýkrát v rok 1990	zmluva obmedzovať počet lietadlo tank a iný nejadrový ťažký zbraň v celieť Európa
1.8	veľa útok malo pôvod v zahraničie	estónsky úradník uviesť že útok mať pôvod v Ruska
1.4	polícia zatknúť 2 podozrivý z honduraský obchodovanie s droga	bulharský polícia zatknúť vedúci skupina pre obchodovanie s droga
3.6	ak sa Japonsko stan príležitosť Japonsko nebyť nikdy porazený ani pokiaľ ísť o vojenský moc	povedať že ak sa Japonsko stan príležitosť pot nebyť nikdy porazený ani pokiaľ ísť o vojenský moc
4	Egypt a Jordánsko podpísať zmluva o nešírenie jadrový zbraň a už dlho požadovať blízky východ bez zbraň hromadný ničenie	Sýria podpísať zmluva o nešírenie jadrový zbraň a umožniť odborný agentúra vykonať inšpekcia v jej jediný známy jadrový zariadenie
1.2	Rusko sa už zúčastňovať na činnosť európsky vesmírny agentúra	Francúzsko byť líder v európsky vesmírny agentúra
3	Mjanmarsko byť vojenský štát	Mjanmarsko mať vojenský junta
1.8	neuvádzať či byť muž obesený vo väzenie	desiatka takýto zločinec byť obesený na verejnosť
3.2	správa vypracovať európsky a medzinárodný mimovládny organizácia ako napríklad ktorý byť proti ozbrojený násilie	medzinárodný správa o amnestia zostaviť európsky a medzinárodný mimovládny fórum
4.2	inštitút pre výskum verejný politika uviesť že 27 slabý štát predstavovať hrozba pre britský národný bezpečnosť pretože tento štát by môcť byť základňa pre terorista	správa uvádzať že existovať 27 slabý štát ktorý predstavovať hrozba pre britský národný bezpečnosť pretože tento štát by môcť byť základňa pre terorista
4	iránsky vláda obvinenie poprieť a trvať na ten že jadrový program slúžiť iba na mierový účel	Irán trvať na ten že jeho jadrový program slúžiť na mierový účel
3.2	bezpečnostný iniciatíva zameraný na šírenie zbraň žiadať zastavenie a prehľadávanie loď podozrivý z preprava zbraň hromadný ničenie	člen bezpečnostný iniciatíva proti šírenie zbraň hromadný ničenie zvažovať spôsob ako zadržať loď alebo lietadlo podozrivý z preprava zbraň hromadný ničenie
3.4	medzinárodný spoločenstvo by malo zmodernizovať a hľadať spravodlivý rozumný a efektívny spôsob ako rozšíriť režim nešírenie jadrový zbraň prostredníctvo rozsiahly konzultácia	tretí návrh byť aby krajina napredovať s doba a hľadať spravodlivý rozumný a efektívny spôsob ako rozšíriť režim nešírenie jadrový zbraň prostredníctvo rozsiahly konzultácia
3.8	organizácia zverejniť správa podľa ktorý indický projekt predaj útočný vrtuľník Mjanmarsko ohrozovať zbrojný embargo európsky únia proti Mjanmarsko	medzinárodný správa amnestia mala názov indický vrtuľník pre Mjanmarsko vysmievanúť sa zbrojný embargo EÚ
2.4	m. pašovať 10 kilogram 22 libra heroín	obžalovanie prepašovať mnoho ako 11 kilogram heroín
3.4	29 človek byť odsúdený súd za účasť v drogový kruh ktorý obchodovať s heroín z Vietnam do Čína	súdny úradník uviesť že 12 osoba byť medza 29 človek odsúdený ľud ľud za účasť v drogový kruh ktorý obchodovať s heroín z Vietnam do Čína
2	právnik Michaela meno s. s. sa nepodariť dosiahnuť pre komentár	prístavný úrad v a policajný inšpektor výbušnina nebyť za účel vyjadrenie
3.2	krajina byť proti vesmír a závod v vo vesmír	Čína zdôrazniť že nesúhlas so zbraň a preteky v vo vesmír
3.4	Francúzsko Belgicko Nemecko Švédsko Taliansko a Británia poskytovať diel a technológia pre pokročilý ľahký vrtuľník ALH	Francúzsko Belgicko Nemecko Švédsko Taliansko a Británia poskytovať diel a technológia pre pokročilý ľahký vrtuľník ktorý India plánovať predať Mjanmarsko
3.2	nárast nezákonný obchodovanie so zbraň v Keňa z dôvod ľahký dostupnosť a susedný konflikt	nezákonný obchodovanie so zbraň sa v Keňa zvýšiť a vyvolať obava o bezpečnosť
3.4	n. r. uviesť že bola podpísaný dohoda medza organizácia pre výskum a vývoj v oblasť obrana spoločnosť Hindustán a indický letectvo o modernizácia starnúci flotila lietadlo 27 m v India	uviesť že modernizácia sa uskutočniť čoskoro pretože ona už takmer dokončiť organizácia pre obranný výskum a vývoj a indický letectvo
4.6	uvádzať že mierový dohoda na blízko východ byť možný dosiahnuť iba súbežne s bezpečnostný dohoda založený na odstránenie všetok zbraň hromadný ničenie z región	podľa agentúra sa musieť dosiahnuť mierový dohoda medza Izrael a jeho arabský sused súčasne s bezpečnostný dohoda založený na odstránenie všetok zbraň hromadný ničenie z tento región
1.6	obchodník s droga hroziť podľa tadžický právať trest smrť	obchodník s afganský droga bola chytený v Tadžikistan
5	medzinárodný združenie pre atómový energia byť strážny pes spojený národ	medzinárodný agentúra pre atómový energia byť jadrový strážny pes USA
4.8	uvádzať že hlavná účel návšteva Nemecko byť podpora obchodný ekonomický a technologický výmena	uviesť že účel jeho návšteva v Nemecko byť podpora obchodný ekonomický a technologický výmena
1.2	predstaviteľ spojený štát nevedieť ako ďaleko pokročiť severokórejský program jadrový zbraň	byť hlavná americký vyjednávač o severokórejský program jadrový zbraň
4.6	zahynúť 7 policajt a 4 policajt byť zranenie	počas stret byť zabitý 7 policajt a 4 ťažko zranenie
2.8	šéf obrana z Estónsko Lotyšsko Litva Nemecko Taliansko Španielsko a Slovensko podpísať dohoda o poskytnutie personál a finančný prostriedok pre stredisko	dohoda podpísať šéf obrana z Estónsko Lotyšsko Litva Nemecko Taliansko Španielsko a Slovensko
3.4	návrh zákon ktorý navrhovať nový zákon umožňujúci využitie vesmírny program na obrana už minulý týždeň schváliť dolný komora japonský vláda	návrh nový zákon už minulý týždeň schváliť dolný komora japonský vláda
2.6	vanúť drať odsúdiť na celkovo 13 rok väzenie	vanúť drať podmienečne odsúdiť Geigeš na 5 rok väzenie
1.8	byť mesto na juhovýchod krajina	byť mesto na juhovýchod
4.4	prezident uvies큐 탑e Rusko prija큐 protiopatrenie	varovať že Rusko podniknúť odvetný krok
4	Čína sa doteraz brániť tlak spojený štát na Čína aby zastaviť a prehľadať severokórejský loď	Čína vyhlásiť že tlak spojený štát na to aby Čína zastaviť a prehľadať severokórejský loď by môcť vyvolať vojenský stret
3.8	brazílsky minister pre strategický záležitosť uviesť že nový brazílsky plán národný obrana požadovať nadviazanie partnerstvo s krajina vrátane Ruska a francúzsky s cieľ vybudovať moderný zbrojný priemysel	uviesť že nový plán národný obrana Brazília požadovať nadviazanie partnerstvo s krajina vrátane Ruska a Francúzska s cieľ vybudovať moderný zbrojný priemysel
1.6	obvinený byť obvinený z medzinárodný obchodovanie s droga	niektorý z obvinený byť obvinenie aj z pranie špinavý peniaze daňový únik a korupcia
3.6	variant pokročilý ľahký vrtuľník obsahovať raketomet z Belgicko raketa zbraň a motor z Francúzska brzdový systém z Taliansko palivový nádrž a prevodovka z Británia prostriedok na sebaobrana od švédsky spoločnosť a od nemecký spoločnosť získať rozhodujúci vývoj a výroba motor	arzenál obsahovať raketomet z belgický raketa zbraň a motor z francúzsky brzdový systém z taliansky palivový nádrž a prevodovka z britský ochranný prostriedok švédsky spoločnosť
3.6	indický ministerstvo obrana zvýšiť výdavok na nákup obrana	indický ministerstvo obrana zvýšiť výdavok na obrana pri nový nákup o 33 percento
0	správa byť obmedzený	vrah uniknúť
2.2	zmluva o konvenčný sila v Európa bola podpísaný ruský a nato v rok 1990	zmluva o konvenčný sila v Európa bola zmenený a doplnený v rok 1999
3.6	šejk šalát íl uviesť že civilný obeta v dôsledok nočná mínometný a raketový útok sa stávať každý deň	šejk šalát íl uviesť že civilný obeta v dôsledok nočná mínometný a raketový útok byť do nemocnica prijímaný takmer každý deň
1.2	juhoafrický vláda udržiavať veľmi dobré vzťah s vláda spojený štát	CFE byť jeden z niekoľký otázka ktorý mať negatívny vplyv na vzťah Ruska s USA a Európa
4.2	systém jadrový zbraň na vysoká úroveň pripravenosť zvyšovať riziko použitie tento zbraň a to aj neúmyselne s katastrofický následok	uznesenie hovoriť že vysoká úroveň pripravenosť zvyšovať riziko použitie tento zbraň a že neúmyselný alebo náhodný použitie by malo katastrofický následok
3.4	uviesť že byť nevyhnutný zvýšiť úsilie o eliminácia jadrový zbraň a zbraň hromadný ničenie	navštíviť nový Zéland a uviesť že byť nevyhnutný aby sa vyvinúť veľký úsilie na eliminácia jadrový zbraň a zbraň hromadný ničenie
0	provincia byť veľký producent ópium na svet	skupina byť veľký spoločnosť v oblasť jadrový inžinierstvo na svet
3.8	pohraničný oblasť medza Afganistan a Irán bola dejisko častý stret medza polícia a pašerák droga	oblasť neďaleko mesto bola dejisko častý konflikt medza iránsky polícia a pašerák droga
4.4	fyzik bola usvedčený z predaj utajovaný o kozmický technológia do cín	fyzik Valentína bola uznaný vinný z predaj utajovaný informácia o vesmírny technológia do Čína
3.4	Mjanmarsko byť veľký producent nelegálny ópium na svet mať však obmedzený finančný a technický zdroj na ukončenie obchod s droga	Mjanmarsko byť veľký svetový producent nezákonný ópium podľa nový u s. správa ministerstvo pre boj proti omamný látka
3	skupina na podpor únosca dúfať že parlament čoskoro zmeniť zákon	podporný skupina unesený použiť prieskum na tlačenie parlament aby prijať nový zákon
4	uviesť že kolumbijský polícia nájsť dôkaz v 2 počítač objavený so zabitý vodca povstalec Raúla Reyes	uviesť že kolumbijský polícia nájsť dôkaz na dva počítač objavený pomoc
0.8	do byť hovorca vietnamský ministerstvo kultúra a informácia	byť hovorca u s. misia k zjednotený národ
4	hovorca spoločnosť siemens v Nemecko uviesť že von uviesť že spoločnosť siemens začínať rozhovor so zainteresovaný čínsky strana o predaj zariadenie na spracovanie plutónium	hovorca spoločnosť siemens v Nemecko uviesť že von uviesť že uviesť že nie byť v zásada proti predaj zariadenie na spracovanie plutónium
5	Vietnam patriť medza prísne drogový zákon na svet	vietnamský drogový zákon patriť medza prísne zákon na svet
1	vládnuť iniciatíva na odzbrojenie byť neúčinný	inštitúcia riadenie byť v Somálsko už dlho neúčinný
5	uviesť že ruský vláda môcť od zmluva úplne odstúpiť ak západný krajina odmietnuť ratifikovať zmenený a doplnený zmluva	uviesť že Rusko by môcť zmluva úplne zrušiť ak západný krajina odmietnuť ratifikovať jej zmenený a doplnený znenie
5	Rusko ratifikovať zmenený a doplnený znenie zmluva	Rusko ratifikovať zmenený a doplnený zmluva
2.2	diskutovať o možný rozšírenie misia v košový	rokovať o snaha Kazachstan o predsedníctvo v rok 2009
4.8	byť šéf medzinárodný agentúra pre atómový energia	byť generálny riaditeľ agentúra pre atómový energia
1.8	zmluva o nešírenie jadrový zbraň mať 37 rok	zmluva o nešírenie jadrový zbraň sa revidovať každý 5 rok
2.2	hovorkyňa čínsky ministerstvo zahraničie ona uviesť že počítačový hacker byť globálny problém	hovorca čínsky ministerstvo zahraničný vec gang bola požiadaný aby reagovať na Cheney prejav o vojenský rozvoj Čína
2.6	závod byť postavený vedľa existujúci závod a plánovať sa jeho prevádzka za 7 rok	závod byť postavený vedľa existujúci závod dodávaný aj z Čína a funkčné od rok 1999
4.4	kybernetický útok sa považovať za rastúci hrozba pre vojenský a civilný počítačový sieť	nato považovať kybernetický útok za rastúci hrozba pre vojenský a civilný počítačový sieť
1.2	ak India obviňovať zahraničný militant byť súčasť jej propaganda zavádzanie medzinárodný spoločenstvo	dôrazne presadzovať zahraničný politika pre Japonsko a medzinárodný spoločenstvo
4.8	rijádsky akadémia pre bezpečnostný veda vo vyhlásenie uviesť že organizovať dvojtýždňový workshop pre 50 odborník na terorizmus	vo vyhlásenie ktorý oznámiť akadémia pre bezpečnostný veda byť sponzorovať dvojtýždňový workshop pre 50 expert na boj proti terorizmus
3.8	88 percento liberálny demokratický strana podporovať ekonomický sankcia	80 percento opozičný demokratický strana podporovať ekonomický sankcia
1.2	byť islamský zákon	Irán byť islamský republika
3	množstvo podozrivý islamský militant s údajný väzba na byť zatknutý v Malajzia a Singapur a úradník uviesť že sieť militant zasahovať do Indonézia	podozrivý z islamský ozbrojenec s údajný väzba na byť zatknutie v Malajzia a Singapur
4.6	v september 2007 Jordánsko podpísať dohoda so spojený štát zameraný na podpor mierový rozvoj sa jordánsky jadrový program	v september 2007 spojený štát podpísať dohoda s Jordánsko zameraný na podpor mierový rozvoj nový jadrový program
3.2	podľa vyhlásenie 24 posilňovať vojenský potenciál strategický sila prekonať systém protiraketový obrana	podľa vyhlásenie byť prototyp raketa 24 na rozdiel od topoľ m v ten že byť vybavený niekoľký nezávisle zamerateľný hlavica na premáhanie obranný systém
0.2	m. bola obesený v provincia zabolieť v provincia Sistán	byť hlavná mesto provincia Sistán
4.8	Irán ležať na hlavná drogový cesta medza Afganistan a Európa a štát perzský záliv	Irán ležať na hlavná trasa obchodovanie s droga medza Afganistan a Európa ako aj štát perzský záliv
0	byť hostiť austrálsky vláda	spojený štát plán nahnevať ruský vláda
3.6	5 stály člen rad bezpečnosť spojený národ byť Británia Čína Francúzsko Rusko a spojený štát	člen skupina 1 byť Británia Čína Francúzsko Rusko Nemecko a spojený štát
4.2	v júl 2006 jordánsky premiér vyhlásiť že a jeho rodina žiť pod ochrana kráľ	jordánsky premiér v júl 2006 uviesť že a jej rodina žiť pod ochrana kráľ II. po ten čo Irak vydať svoj
2.6	hovorca spoločnosť siemens v Nemecko uviesť agentúra že spoločnosť siemens byť presvedčený o výsledok rozhovor o predaj zariadenie na spracovanie plutónium	hovorca spoločnosť siemens v Nemecko sa zdržať komentovanie politický aspekt predaj zariadenie na spracovanie plutónium
3.8	ku kybernetický útok dôjsť po ten čo stretnutie francúzsky prezident s dalajláma nahnevať čínsky vláda	ku kybernetický útok dôjsť po stretnutie francúzsky prezident Nicolaš Sarkozy s exilový tibetský duchovná vodca láma
3.8	juhoafrický vláda zaviesť zákaz ktorý zakazovať nábor človek do južný Afrika alebo mimo ona na žoldniersky alebo zahraničný vojenský pomoc	juhoafrický ministerstvo zahraničie uviesť že zákon o zahraničný vojenský pomoc v juhoafrický republika zakazovať nábor človek do južný Afrika alebo mimo ona na žoldniersky alebo vojenský pomoc
1.6	Ukrajina mať takmer všetok potrebný schválenie aby sa môcť zapojiť do program európsky vesmírny agentúra	Francúzsko byť líder v európsky vesmírny agentúra
3.2	severokórejský vláda varovať juhokórejský vláda pred účasť na program iniciatíva za bezpečnosť šírenie zbraň hromadný ničenie	severokórejský vláda uviesť že ak sa juhokórejský vláda zúčastniť na program iniciatíva za bezpečnosť šírenie zbraň malo by to nešpecifikovaný katastrofický následok
3.2	čínsky rada pre poľnohospodárstvo otvárať špeciálny kancelária zodpovedný za prevod poľnohospodársky technológia správa právo duševný vlastníctvo a poradenstvo s cieľ posilniť rozvoj čínsky znalostný poľnohospodárstvo a aplikácia poľnohospodársky technológia	uviesť že spoločnosť stráviť posledný niekoľko rok ustanovenie príslušný mechanizmus a návrh súbor propagačný opatrenie na podpor rozvoj čínsky znalostný poľnohospodárstvo a aplikácia poľnohospodársky technológia
3	iránsky predseda parlament navštíviť Kuba	dohoda byť podpísaný počas návšteva hovorca iránsky parlament na kuba
2.6	Tibet podozrievať čínsky vláda z vytvorenie vírus ktorý by špehovať tibetský vyhnanec a dalajláma	Tibet podozrievať čínsky vláda zo začatie útok
1	čínsky orgán nebyť okamžite k dispozícia na vyjadrenie	a právnik nebyť okamžite k dispozícia na vyjadrenie
0.4	európsky únia a spojený štát zmraziť aktívum kaďa	západný vláda zahŕňať spojený štát a Francúzsko
1	čínsky vláda v posledný rok posilniť čínsky kapacita proti šírenie zbraň hromadný ničenie	čínsky vláda v posledný rok podľa zákon prísne cenzurovať čínsky dovoz a vývoz chemikália
4.2	skupina zastupujúci hlaveň biely Juhoafričan nazývaný uviesť že byť organizovať protest pozdĺž cesta do Zimbabwe	uviesť že skupina byť organizovať protest pozdĺž cesta do Zimbabwe
3.6	oznámiť že zmluva nechrániť náležite ruský bezpečnostný záujem	zmluva nechrániť náležitý spôsob bezpečnostný záujem ruský federácia
3.4	bojovať proti vydanie do spojený štát a podať formálny sťažnosť obviňujúci sa z ten že britský polícia vykonať spravodajský správa ktorý mať implikovať Ahmaď do teroristický aktivita a znesvätiť tak korán	podať formálny sťažnosť nezávislý policajný komisia pre sťažnosť v ktorý tvrdiť že britský polícia vymyslieť spravodajský správa ktorý mať zapojiť Ahmaď do teroristický aktivita a zneuctiť Ahmadová kópia islamský svätá kniha korán ten že pri prehliadka dom položiť korán na zem
3.6	Rusko ratifikovať zmenený a doplnený verzia ale spojený štát a ďalší člen vláda nato to odmiesť kto ruský vláda nestiahnuť jednotka z bývalá sovietsky republika Moldavsko a Gruzínsko	spojený štát a ďalší člen nato odmiesť ratifikovať zmenený a doplnený verzia kto Rusko nestiahnuť jednotka z bývalá sovietsky republika Moldavsko a Gruzínsko
0.8	súčasť účel plán spojený štát byť zvýšenie tlak na severný	spojený štát a spojenec spojený štát veriť že Irán sledovať jadrový zbraň
0.4	byť hlavná mesto Gruzínsko	Paríž byť hlavná mesto Francúzska
1.4	indický vládny úradník vyhlásiť že India neprikladať veľký dôveryhodnosť správa	jeden indický vládny úradník ktorý študovať plán uviesť že veda byť starať a zastaraný ale stále funkčný
2.4	čínsky kabinet štátny rada oznámiť že zmeniť a doplniť nariadenie o dvojak použitie jadrový technológia s cieľ zabrániť jadrový terorizmus	ktorý sa meniť a dopĺňať nariadenie o jadrový technológia s dvojaký použitie zabrániť jadrový terorizmus
1.2	japonský premiér uviesť že posun tyč bola proaktívny	v rok 2002 sa japonský premiér zúčastniť na samit v severný so severokórejský vodca íl
3.2	opozičný japonský komunistický strana bola proti nový zákon a obávať sa že to viesť k silný armáda	opozičný japonský komunistický strana bola proti návrh zákon ktorý navrhovať nový zákon
3.6	niektorý predstaviteľ uviesť že takýto štandardizácia byť z dôvod politický systém rôzny krajina ťažkať	niektorý úradník uviesť že úloha byť pre člen ťažkať z dôvod rozdielny právny a politický systém
4	Irak lobovať za to aby rada bezpečnosť prestať využívať príjem z ropa v krajina na vyplácanie kompenzácia obeť vojna v perzský záliv v rok 1991 a plat inšpektor monitorovací overovací a inšpekčný komisia spojený štát a aby všetok zvyšný peniaz zostať v ropa spojený krajina účet pre potravina prevedený do vládny rozvojový fond	nový vodca Irak lobovať za to aby rada bezpečnosť spojený národ prestať využívať príjem Irak z ropa na vyplácanie mzda inšpektor a aby všetok peniaz zostávajúci na účet OSN pre ropa za potravina byť prevedený na iracký vláda
2.2	musieť sa zachovať kľúčový európsky zmluva o kontrola zbraň	zmluva o byť kľúčový európsky zmluva o kontrola zbraň
2.6	oblasť zlatý trojuholník bola jeden z veľký svetový producent ópium	provincia byť veľký producent ópium na svet
2.2	spojený štát zamiesť akcia ako jadrový vydieranie	spojený štát vyhlásiť že sa postaviť proti jadrový vydieranie a vylúčiť rokovanie
2.8	schôdza trvať 3 deň	stretnutie trvať 2 deň
3.6	minister z Čína Laos India Mjanmarsko a Thajsko sa byť zaoberať aj iniciatíva zameraný na substitúcia plodina pre chudobný etnický menšina ktorý sa stále spoliehať na pestovanie ópium	minister z Čína Laos India Mjanmarsko a Thajsko byť rokovať o ten ako nájsť trh pre tovar vyrobený v rámec substitúcia plodina a o ďalší súvisiaci program ako byť ekoturizmus a remeselný výroba
3	Čína byť jadrový energia a člen u n. bezpečnostný rada	Čína byť stály člen bezpečnosť OSN
2	severokórejský úradník byť podozrivý z výroba jadrový zbraň	severný Kórea byť v súčasnosť v proces demontáž svoj program jadrový zbraň
3.4	austrálsky televízny reportér Peter čeliť 3 nový obvinenie z droga v Singapur	podľa súdny dokument 25. júl čeliť austrálsky reportér televízia Peter 3 nový obvinenie z droga v Singapur
3	prezident Vladimíra podpísať dekrét o pozastavenie účasť Ruska v konvenčný sila na európsky zmluva	ruský prezident Vladimíra podpísať dekrét o pozastavenie účasť Ruska na konvenčný sila v európsky zmluva z dôvod okolnosť ktorý ovplyvňovať bezpečnosť ruský federácia a ktorý byť vyžadovať okamžitý opatrenie
2.6	podmienka vydanie stanovovať že možno stíhať iba na základ jediný obvinenie z falšovanie dokument ktorý môcť taliansky orgán poskytnúť dostatočná dôkaz na stíhanie	hovorca švajčiarsky ministerstvo spravodlivosť uviesť že podmienka vydanie stanovovať že možno stíhať iba na základ jediný obvinenie z falšovanie dokument pre ktorý môcť taliansky orgán poskytnúť dostatočná dôkaz
3	veriť sa že útok pochádzať z ruský administratívny IP adresa v reakcia na premiestnenie sovietsky socha do Estónsko	k útok dôjsť po spor medza vláda Ruska a Estónsko o premiestnenie pamätník sovietsky vojna
2	India a Pakistan zostávať mimo zmluva	Izrael zostávať mimo zmluva
0	Čína byť člen klub balistický raketa	Rusko byť člen kvarteto na blízko východ
4.4	Rusko môcť odstúpiť od zmluva ak USA a ďalší spojenec nato odmietnuť ratifikovať zmenený a doplnený verzia	varovať že Rusko odstúpiť od zmluva ak západný štát odmietnuť ratifikovať jej zmenený a doplnený znenie
0.4	to platiť najmä v chudobný krajina	byť to najmä pot čo Etiópia stiahnuť svoj sila
3.6	Irán v posledný mesiac zjavne zvýšiť počet poprava keď úradník presadzovať kampaň zameraný na podpor cnosť a zvýšenie bezpečnosť v	iránsky úradník zvýšiť počet poprava v rok 2007 keď úradník presadzovať kampaň zameraný údajne na podpor cnosť a zvyšovanie bezpečnosť v spoločnosť
0.6	vo vyhlásenie oficiálny kúpeľný tlačový agentúra sa uvádzať že bola odsúdený za obchodovanie s droga	násilník bola identifikovaný ako a bola tiež odsúdený za obchodovanie s droga
1.8	Tadžikistan aj Uzbekistan mať spoločný hranica s Afganistan a v posledný rok zažiť útok islamský militant podporovaný taliban	susedný Kirgizsko tiež v posledný rok zažiť nájazd islamský militant podporovaný taliban
1.8	Rusko uviesť že systém predstavovať jasný hrozba pre ruský bezpečnosť	byť to vážny hrozba pre medzinárodný bezpečnosť
3	gang sa zapojiť do nelegálny aktivita vrátane vydieranie vydieranie zbraň cigareta a pranie špinavý peniaze a údajne použiť výťažok na financovanie teroristický skupina v čečenský	daň uviesť že gang sa zapojiť do nelegálny aktivita vrátane vydieranie vydieranie zbraň cigareta a pranie špinavý peniaze
3.4	v štátny vedecky center aplikovaný mikrobiológia existovať každý druh smrtiaci baktéria ktorý byť študovaný na použitie v program tajný biologický zbraň sovietsky zväz	štátny vedecký stredisko aplikovaný mikrobiológia spolupracovať so západný vedec na premena komplex na biomedicínsky výrobný miesto
1.2	medzinárodný agentúra pre atómový energia nemať prístup k človek dokument stránka	medzinárodný agentúra pre atómový energia sídliť v
0	kniha uvádzať že droga poskytovať úplne pozitívny obraz	úradník uviesť že ísť o úplný prenos technológia
1.4	40 väzeň byť odpykávať trest za vražda	105 väzeň byť odpykávať trest za obchodovanie s droga
2	Rusko byť plniť povinnosť a znižovať sila	pozastavenie ruský záväzok podľa zmluva byť dočasný
3.6	výkonný riaditeľ združenie na kontrola zbraň vo Washington uviesť že správa byť 1 zo séria zlý znak	výkonný riaditeľ združenie na kontrola zbraň vo Washington uviesť že izraelský dokument by môcť ovplyvniť debata o India
4	CFE byť jeden z niekoľký otázka ktorý mať negatívny vplyv na vzťah Ruska s USA a Európa	zmluva byť jeden z niekoľký problém spôsobujúci napätý vzťah medza ruský vláda a u s. a Európa
3.2	laboratórium pracovať s u s. národný laboratórium	laboratórium spolupracovať s iný vedecký ústav
1.8	a byť senátor	a udeliť predseda vláda medaila
4	úradník tvrdiť že rozhodnutie o zmluva byť závisieť od u s. opatrenie na jej plán rozmiestnenie systém protiraketový obrana v Poľsko a český republika	ruský vojenský predstaviteľ uviesť že rozhodnutie byť závisieť od ten či spojený štát pokračovať v plán rozmiestnenie komponent protiraketový obrana v Poľsko a český republika
3	podpis dohoda byť okrajový otázka stretnutie náčelník štáb obrana z 26 spojenecký krajina nato	dohoda bola podpísaný počas pravidelný stretnutie náčelník obranný štáb z 26 spojenec nato
3.6	začiatkom máj 2002 podpísať úradník z Filipíny Malajzia a Indonézia protiteroristický dohoda o zdieľanie zoznam cestujúca v letecký doprava a ďalší spravodajský informácia	začiatkom máj 2002 podpísať Filipíny Malajzia a Indonézia dohoda o zdieľanie spravodajský informácia o terorizmus
3.2	po prvý stretnutie vedúca predstaviteľ európsky únia s líder z Albánsko Bosna a Hercegovina Chorvátsko Macedónsko Srbsko a čierny hora sa vodca krajina západný Balkán zaväzovať znížiť organizovaný zločin a korupcia na Balkán aby splniť požiadavka členstvo v európsky únia	vodca z Albánsko Bosna a Hercegovina Chorvátsko Makedónia Srbsko a čierny hora sa po prvý raz stretnúť s vedúca predstaviteľ európsky únia aby sa pokúsiť vstúpiť do európsky únia
3.6	rezolúcia vyžadovať aby všetok 192 členský štát spojený štát prijať zákon ktorý zabrániť terorista čierny obchodník a iný neštátny subjekt vo výroba získavanie alebo obchodovanie s jadrový biologický alebo chemický zbraň alebo materiál na ich výroba	rezolúcia 1540 vyžadovať aby všetok krajina prijať zákon ktorý zabrániť neštátny subjekt vo výroba získavanie alebo obchodovanie s jadrový biologický alebo chemický zbraň materiál na ich výroba a raketa a iný systém na ich dodanie
2	medzinárodný združenie pre atómový energia uviesť že Jordánsko súhlasiť s ďalší opatrenie	medzinárodný združenie pre atómový energia byť strážny pes spojený národ
0.4	existovať veľa obava z táto droga	byť potrebný urobiť ešte veľa práca
3	medzinárodný správa o amnestia naznačiť že Belgicko začať okamžitý rozhovor s India aby sa zabrániť budúci predaj komponent alebo vojenský technológia Mjanmarsko	v správa sa naliehať na Belgicko aby začať okamžitý rozhovor s India s cieľ zabrániť budúci predaj zbraň Mjanmarsko
3	medza hlavná trestný čin v Irán patriť vražda znásilnenie ozbrojený lúpež odpadlíctvo rúhanie vážne obchodovanie s droga opakovaný cudzoložstvo prostitúcia zrada a špionáž	medza hlavná trestný čin v Irán patriť vražda znásilnenie ozbrojený lúpež vážne obchodovanie s droga a cudzoložstvo
3.4	Saudská Arábia byť absolútno monarchia ktorý urobiť krok smer k reforma	Saudská Arábia byť absolútno monarchia a mať poradný rad menovaný vláda
3	hovorca uviesť že dôjsť k výmena názor na aktuálne medzinárodný a regionálne otázka na základ spoločný pracovný vzťah v samý stred u n. uviesť že Rusko uznávať účasť Líbya na práca u n. bezpečnostný rada	uviesť že dôjsť k výmena názor na aktuálne medzinárodný a regionálne otázka na základ spoločný pracovný vzťah v samý srdce OSN
2.6	návšteva v Londýn byť prvý líbyjský minister zahraničný vec od rok 1969	bola ohlásený návšteva ruský minister zahraničný vec v Líbya
1.8	indický a pakistanský vláda sa v rok 1999 takmer zapojiť do štvrtý konflikt	v máj 1998 každý indický a pakistanský vláda uskutočniť jadrový test
3.8	uviesť že zadržanie byť obvinenie z vražda trestný spolupráca únos a financovanie terorizmus	uviesť že zadržaný osoba sa tiež podieľať na vražda policajný príslušník skupina proti únos
2.4	3 podozrivý extrémista byť prepustenie na kaucia	1 podozrivý extrémista bola dočasne prepustený na sloboda bez kaucia
0.8	z obchodovanie s ľudský orgán byť obvinený 6 zamestnancov český nemocnica	obvinený byť obvinený z medzinárodný obchodovanie s droga
