4	Mexiko chce zaručiť bezpečnosť občanov.	Mexiko si praje vyhnúť sa väčšiemu násiliu.
3.6	ak sa Japonsko stane príležitosťou, Japonsko nebude nikdy porazené, ani pokiaľ ide o vojenskú moc.	ozawa said that if japan rises to the occasion then japan will never be beaten even in terms of military power.
4	Egypt a Jordánsko podpísali zmluvu o nešírení jadrových zbraní a už dlho požadujú Blízky východ bez zbraní hromadného ničenia.	Sýria podpísala zmluvu o nešírení jadrových zbraní a umožnila odborným agentúram vykonať inšpekciu v jej jedinom známom jadrovom zariadení.
1.2	russia already participates in the european space agency's 	france is a leader in the european space agency.
3	myanmar is a military state. 	myanmar has a military junta.
1.8	neuvádzalo, či boli muži obesení vo väzení.	dozens of such criminals have been hanged in public.
3.2	amnesty international's report was compiled by european and international non-governmental organizations such as saferworld, which opposes armed violence. 	the amnesty international report was compiled by european and international non-governmental forums.
4.2	inštitút pre výskum verejnej politiky uviedol, že 27 slabých štátov predstavuje hrozbu pre britskú národnú bezpečnosť, pretože tieto štáty by mohli byť základňou pre teroristov.	the report said there are 27 weak states that pose a threat to britain's national security as the states could provide bases for terrorists.
4	the iranian government denied the accusation and insists the nuclear program is for peaceful purposes only. 	iran insists that its nuclear program is for peaceful purposes
3.2	bezpečnostná iniciatíva zameraná na šírenie zbraní žiada zastavenie a prehľadávanie lodí podozrivých z prepravy zbraní hromadného ničenia.	členovia bezpečnostnej iniciatívy proti šíreniu zbraní hromadného ničenia zvažujú spôsoby, ako zadržať lode alebo lietadlá podozrivé z prepravy zbraní hromadného ničenia.
3.4	the international community should modernize and seek a fair, reasonable and effective way to enhance the nuclear non-proliferation regime through extensive consultations. 	tretím návrhom bolo, aby krajiny napredovali s dobou a hľadali spravodlivý, rozumný a efektívny spôsob, ako rozšíriť režim nešírenia jadrových zbraní prostredníctvom rozsiahlych konzultácií.
3.8	amnesty international has published a report stating that an indian project to sell attack helicopters to myanmar threatens a european union arms embargo against myanmar. 	the amnesty international report was titled indian helicopters for myanmar: making a mockery of the eu arms embargo?
2.4	naeem m. smuggled 10 kilograms (22 pounds) of heroin. 	obžalovaní prepašovali viac ako 11 kilogramov heroínu.
3.4	29 ľudí bolo odsúdených súdom quang ninh za účasť v drogovom kruhu, ktorý obchodoval s heroínom z Vietnamu do Číny.	súdny úradník tran dao uviedol, že 12 osôb bolo medzi 29 ľuďmi odsúdenými ľudom ľudu quang ninh za účasť v drogovom kruhu, ktorý obchodoval s heroínom z Vietnamu do Číny.
2	právnik michael karras menom s.s. dhillon sa nepodarilo dosiahnuť pre komentár.	prístavné úrady v Durbane a policajní inšpektori výbušnín neboli za účelom vyjadrenia.
3.2	the countries oppose the weaponization of space and an arms race in space. 	Čína zdôraznila, že nesúhlas so zbraňami a pretekmi v zbrojení vo vesmíre.
3.4	Francúzsko, Belgicko, Nemecko, Švédsko, Taliansko a Británia poskytujú diely a technológie pre pokročilý ľahký vrtuľník (ALH).	france, belgium, germany, sweden, italy and britain provide parts and technology for the advanced light helicopter that india plans to sell to myanmar.
3.2	illegal arms trafficking increases in kenya due to easy availability and neighboring conflicts. 	illegal arms trafficking has increased in kenya and raised concern about security.
3.4	n.r. Mohanty uviedol, že bola podpísaná dohoda medzi organizáciou pre výskum a vývoj v oblasti obrany, spoločnosťou Hindustan Aeronautics Limited a indickým letectvom o modernizácii starnúcej flotily lietadiel Mig-27 m v Indii.	mohanty uviedol, že modernizácia sa uskutoční čoskoro, pretože ju už takmer dokončila organizácia pre obranný výskum a vývoj, hindustan aeronautics limited a indické letectvo.
4.6	elbaradei uvádza, že mierovú dohodu na Blízkom východe je možné dosiahnuť iba súbežne s bezpečnostnou dohodou založenou na odstránení všetkých zbraní hromadného ničenia z regiónu.	Podľa agentúry elbaradei sa musí dosiahnuť mierová dohoda medzi Izraelom a jeho arabskými susedmi súčasne s bezpečnostnou dohodou založenou na odstránení všetkých zbraní hromadného ničenia z tohto regiónu.
1.6	obchodníkom s drogami hrozí podľa tadžického práva trest smrti.	obchodník s afganskými drogami bol chytený v Tadžikistane.
5	medzinárodným združením pre atómovú energiu je strážny pes Spojených národov.	the international atomic energy agency is the u.n.'s nuclear watchdog.
4.8	wen uvádza, že hlavným účelom návštevy nemecka je podpora obchodných, ekonomických a technologických výmen.	wen uviedol, že účelom jeho návštevy v nemecku je podpora obchodných, ekonomických a technologických výmen.
1.2	united states officials do not know how far north korea's nuclear weapons program has progressed. 	Hill je hlavným americkým vyjednávačom o severokórejskom programe jadrových zbraní.
4.6	7 police officers were killed and 4 officers were wounded. 	počas stretu bolo zabitých 7 policajtov a 4 ťažko zranení.
2.8	defense chiefs from estonia, latvia, lithuania, germany, italy, spain and slovakia will sign the agreement to provide staff and funding for the center. 	Dohodu podpísali šéfovia obrany z Estónska, Lotyšska, Litvy, Nemecka, Talianska, Španielska a Slovenska.
3.4	the bill proposing the new law allowing the use of space programs for defense was already approved by the lower house of japan's government last week. 	návrh nového zákona už minulý týždeň schválila dolná komora japonskej vlády.
2.6	van der merwe odsúdil geigesa na celkovo 13 rokov väzenia.	van der merwe podmienečne odsúdil Geigesa na 5 rokov väzenia.
1.8	zahedan je mesto na juhovýchode krajiny	bam is a city in southeastern
4.4	president putin stated that russia would take countermeasures. 	Putin varoval, že Rusko podnikne odvetné kroky.
4	Čína sa doteraz bránila tlaku Spojených štátov na Čínu, aby zastavila a prehľadala severokórejské lode.	Čína vyhlásila, že tlak Spojených štátov na to, aby Čína zastavila a prehľadala severokórejské lode, by mohla vyvolať vojenské strety.
3.8	brazílsky minister pre strategické záležitosti roberto mangabeira unger uviedol, že nový brazílsky plán národnej obrany požaduje nadviazanie partnerstiev s krajinami vrátane Ruska a francúzska s cieľom vybudovať najmodernejší zbrojný priemysel.	unger stated brazil's new national defense plan calls for establishing partnerships with countries including russia and france to build a state-of-the-art weapons industry.
1.6	the accused will be charged with international drug trafficking. 	some of the accused will also be charged with money laundering, tax evasion and corruption.
3.6	varianty pokročilého ľahkého vrtuľníka (alh) obsahujú raketomety z Belgicka; rakety, zbrane a motory z Francúzska; brzdové systémy z Talianska; palivové nádrže a prevodovky z Británie; prostriedky na sebaobranu od švédskej spoločnosti a od nemeckých spoločností získali rozhodujúci vývoj a výrobu motorov.	the alh's arsenal includes-- rocket launchers from belgium rockets, guns and engines from france brake systems from italy fuel tanks and gearboxes from britain self-protection equipment from a swedish company.
3.6	indické ministerstvo obrany zvýšilo výdavky na nákupy obrany.	indické ministerstvo obrany zvýšilo výdavky na obranu pri nových nákupoch o 33 percent.
0	the iaea report is restricted. 	vrahovia unikli.
2.2	zmluva o konvenčných silách v Európe bola podpísaná ruskými a nato v roku 1990.	zmluva o konvenčných silách v Európe bola zmenená a doplnená v roku 1999.
3.6	šejk doon šalát ilmi uviedol, že civilné obete v dôsledku nočných mínometných a raketových útokov sa stávajú každý deň.	šejk doon šalát ilmi uviedol, že civilné obete v dôsledku nočných mínometných a raketových útokov sú do nemocnice prijímané takmer každý deň.
1.2	juhoafrická vláda udržiava veľmi dobré vzťahy s vládou spojených štátov.	CFE je jednou z niekoľkých otázok, ktoré majú negatívny vplyv na vzťahy Ruska s USA a Európou.
4.2	systémy jadrových zbraní na vysokej úrovni pripravenosti zvyšujú riziko použitia týchto zbraní, a to aj neúmyselne s katastrofickými následkami.	uznesenie hovorí, že vysoká úroveň pripravenosti zvyšuje riziko použitia týchto zbraní a že neúmyselné alebo náhodné použitie by malo katastrofické následky.
3.4	blix uviedol, že je nevyhnutné zvýšiť úsilie o elimináciu jadrových zbraní a zbraní hromadného ničenia.	blix navštívil Nový Zéland a uviedol, že je nevyhnutné, aby sa vyvinulo väčšie úsilie na elimináciu jadrových zbraní a zbraní hromadného ničenia.
0	provincia Helmand je najväčším producentom ópia na svete.	skupina areva je najväčšou spoločnosťou v oblasti jadrového inžinierstva na svete.
3.8	pohraničná oblasť medzi Afganistanom a Iránom bola dejiskom častých stretov medzi políciou a pašerákmi drog.	the area near town of mirjaveh has been the scene of frequent conflicts between iranian police and drug smugglers.
4.4	fyzik danilov bol usvedceny z predaja utajovanych informaci o kozmickej technologii do ciny.	fyzik valentin danilov bol uznaný vinným z predaja utajovaných informácií o vesmírnej technológii do Číny.
3.4	myanmar is the world's largest producer of illegal opium but has limited financial and technical resources for ending the drug trade. 	Mjanmarsko je najväčší svetový producent nezákonného ópia podľa najnovšej u.s. správa ministerstva pre boj proti omamným látkam.
3	the abductee support group hopes parliament will change the laws soon. 	podporná skupina unesených použije prieskum na tlačenie parlamentu, aby prijal nové zákony.
4	santos uviedol, že kolumbijská polícia našla dôkazy v 2 počítačoch objavených so zabitým vodcom povstalcov Raúlom Reyesom.	francisco santos uviedol, že kolumbijská polícia našla dôkazy na dvoch počítačoch objavených pomocou raul reyes.
0.8	do quy doan je hovorcom vietnamského ministerstva kultúry a informácií.	grenell je hovorcom u.s. misia k zjednoteným národom.
4	hovorca spoločnosti siemens v Nemecku uviedol, že heinrich von pierer uviedol, že spoločnosť siemens začína rozhovory so zainteresovanými čínskymi stranami o predaji zariadenia na spracovanie plutónia.	a siemens spokesman in germany stated that heinrich von pierer stated that gerhard schroeder stated that gerhard schroeder is not against the sale of the plutonium-processing facility in principle.
5	vietnam has among the world's strictest drug laws. 	vietnamské drogové zákony patria medzi najprísnejšie zákony na svete.
1	vládne iniciatívy na odzbrojenie boli neúčinné.	inštitúcie riadenia sú v Somálsku už dlho neúčinné.
5	Putin uviedol, že ruská vláda môže od zmluvy úplne odstúpiť, ak západné krajiny odmietnu ratifikovať zmenenú a doplnenú zmluvu.	Putin uviedol, že Rusko by mohlo zmluvu úplne zrušiť, ak západné krajiny odmietnu ratifikovať jej zmenené a doplnené znenie.
5	russia ratified the amended version of the treaty. 	russia ratified the amended treaty.
2.2	osce diskutovali o možnom rozšírení misie osce v kosove.	osce rokovalo o snahe Kazachstanu o predsedníctvo osce v roku 2009.
4.8	elbaradei je šéf medzinárodnej agentúry pre atómovú energiu.	mohammed elbarade is the international atomic energy agency's director general.
1.8	zmluva o nešírení jadrových zbraní má 37 rokov.	zmluva o nešírení jadrových zbraní sa reviduje každých 5 rokov.
2.2	hovorkyňa čínskeho ministerstva zahraničia Ťiang jü uviedla, že počítačový hacker je globálny problém.	chinese foreign ministry spokesman qin gang was asked to respond to cheney's speech on china's military development.
2.6	závod bude postavený vedľa existujúceho závodu a plánuje sa jeho prevádzka za 7 rokov.	závod bude postavený vedľa existujúceho závodu dodávaného aj z Číny a funkčného od roku 1999.
4.4	cyber attacks are considered a growing threat to military and civilian computer networks. 	nato považuje kybernetické útoky za rastúcu hrozbu pre vojenské a civilné počítačové siete.
1.2	ak India obviňuje zahraničných militantov, je súčasťou jej propagandy zavádzanie medzinárodného spoločenstva.	Abe dôraznejšie presadzovala zahraničnú politiku pre Japonsko a medzinárodné spoločenstvo.
4.8	rijádska Akadémia pre bezpečnostné vedy Naif vo vyhlásení uviedla, že organizuje dvojtýždňový workshop pre 50 odborníkov na terorizmus.	vo vyhlásení, ktoré oznámila Akadémia pre bezpečnostné vedy Naif - bude sponzorovať dvojtýždňový workshop pre 50 expertov na boj proti terorizmu.
3.8	88 percent liberálnej demokratickej strany podporuje ekonomické sankcie.	80 percent opozičnej demokratickej strany podporuje ekonomické sankcie.
1.2	šaría je islamský zákon.	iran is an islamic republic .
3	množstvo podozrivých islamských militantov s údajnými väzbami na al-Káidu bolo zatknutých v Malajzii a Singapure a úradníci uviedli, že sieť militantov zasahuje do Indonézie.	podozriví z islamských ozbrojencov s údajnými väzbami na al-Káidu boli zatknutí v Malajzii a Singapure.
4.6	v septembri 2007 Jordánsko podpísalo dohodu so Spojenými štátmi zameranou na podporu mierového rozvoja rodiaceho sa jordánskeho jadrového programu.	v septembri 2007 Spojené štáty podpísali dohodu s Jordánskom zameranú na podporu mierového rozvoja nového jodranského jadrového programu.
3.2	according to the statement the rs-24 reinforces the military potential of the strategic forces to overcome anti-missile defense systems. 	podľa vyhlásenia je prototyp rakety rs-24 na rozdiel od topolu m v tom, že je vybavený niekoľkými nezávisle zamerateľnými hlavicami na premáhanie obranných systémov.
0.2	naeem m. bol obesený v provincii zabol v provincii Sistan-baluchestan.	zahedan je hlavným mestom provincie Sistan-baluchestan.
4.8	Irán leží na hlavnej drogovej ceste medzi Afganistanom a Európou a štátmi Perzského zálivu.	Irán leží na hlavnej trase obchodovania s drogami medzi Afganistanom a Európou, ako aj štátmi Perzského zálivu.
0	bude hostiť austrálska vláda.	Spojené štáty. plány nahnevali ruskú vládu.
3.6	the 5 permanent united nations security council members are britain, china, france, russia and the united states. 	Členmi skupiny p5 + 1 sú Británia, Čína, Francúzsko, Rusko, Nemecko a Spojené štáty.
4.2	v júli 2006 jordánsky premiér Maaruf Bakhit vyhlásil, že-- raghdad Husajn a jeho rodina žili pod ochranou kráľa abdullaha ii.	jordánsky premiér Maaruf Bakhit v júli 2006 uviedol, že raghdad Husajn a jej rodina žili pod ochranou kráľa Abdulláha II. po tom, čo Irak vydal svoje
2.6	a siemens spokesman in germany stated to the agence france-presse that siemens was confident about the outcome of the talks to sell the plutonium-processing facility. 	hovorca spoločnosti siemens v Nemecku sa zdržal komentovania politických aspektov predaja zariadenia na spracovanie plutónia.
3.8	ku kybernetickému útoku došlo po tom, čo stretnutie francúzskeho prezidenta sarkozyho s dalajlámom nahnevalo čínsku vládu.	ku kybernetickému útoku došlo po stretnutí francúzskeho prezidenta Nicolasa Sarkozyho s exilovým tibetským duchovným vodcom dalai lámom.
3.8	juhoafrická vláda zaviedla zákaz, ktorý zakazuje nábor ľudí do južnej Afriky alebo mimo nej na žoldniersku alebo zahraničnú vojenskú pomoc.	south africa's foreign ministry stated that south africa's foreign military assistance act prohibits the recruitment of people inside or outside of south africa for mercenary or foreign military assistance.
1.6	Ukrajina má takmer všetky potrebné schválenia, aby sa mohla zapojiť do programu Európskej vesmírnej agentúry.	Francúzsko je lídrom v európskej vesmírnej agentúre.
3.2	severokórejská vláda varovala juhokórejskú vládu pred účasťou na programe iniciatívy za bezpečnosť šírenia zbraní hromadného ničenia.	severokórejská vláda uviedla, že ak sa juhokórejská vláda zúčastní na programe iniciatívy za bezpečnosť šírenia zbraní, malo by to nešpecifikované katastrofické následky.
3.2	Čínska rada pre poľnohospodárstvo otvára špeciálnu kanceláriu zodpovednú za prevody poľnohospodárskych technológií, správu práv duševného vlastníctva a poradenstvo s cieľom posilniť rozvoj čínskeho znalostného poľnohospodárstva a aplikácií poľnohospodárskej technológie.	Lee uviedol, že spoločnosť Coa strávila posledných niekoľko rokov ustanovením príslušných mechanizmov a návrhom súboru propagačných opatrení na podporu rozvoja čínskeho znalostného poľnohospodárstva a aplikácií poľnohospodárskej technológie.
3	iránsky predseda parlamentu gholam-ali haddad-adel navštívil Kubu.	dohody boli podpísané počas návštevy hovorcu iránskeho majlis (parlamentu) gholam-ali haddad-adel na kube.
2.6	tibet suspects chinese government of creating the virus to spy on tibetan exiles and the dalai lama. 	Tibet podozrieva čínsku vládu zo začatia útoku.
1	čínske orgány neboli okamžite k dispozícii na vyjadrenie.	godzhayev a godzhayevovi právnici neboli okamžite k dispozícii na vyjadrenie.
0.4	the european union and the united states have frozen al-qadi's assets. 	západné vlády zahŕňajú Spojené štáty a Francúzsko.
1	the chinese government has strengthened china's anti-proliferation capacity in recent years. 	čínska vláda v posledných rokoch podľa zákona prísne cenzuruje čínsky dovoz a vývoz chemikálií.
4.2	skupina zastupujúca hlavne bielych Juhoafričanov nazývaná afriforum uviedla, že bude organizovať protesty pozdĺž cesty do zimbabwe.	afriforum uviedlo, že skupina bude organizovať protesty pozdĺž cesty do zimbabwe.
3.6	Putin oznámil, že zmluva cfe nechráni náležite ruské bezpečnostné záujmy.	zmluva cfe nechráni náležitým spôsobom bezpečnostné záujmy ruskej federácie.
3.4	Ahmad bojuje proti vydaniu do Spojených štátov a podal formálnu sťažnosť obviňujúcu sa z toho, že britská polícia vykonala spravodajské správy, ktoré mali implikovať Ahmada do teroristických aktivít, a znesvätili tak korán.	Ahmad podal formálnu sťažnosť nezávislej policajnej komisii pre sťažnosti, v ktorej tvrdil, že britská polícia vymyslela spravodajské správy, ktoré majú zapojiť Ahmada do teroristických aktivít, a zneuctila Ahmadovu kópiu islamskej svätej knihy Korán tým, že pri prehliadke Ahmadovho domu položila Korán na zem.
3.6	Rusko ratifikovalo zmenenú a doplnenú verziu, ale Spojené štáty a ďalší členovia vlády nato to odmietli, kým ruská vláda nestiahne jednotky z bývalých sovietskych republík Moldavsko a Gruzínsko.	spojené štáty a ďalší členovia nato odmietli ratifikovať zmenenú a doplnenú verziu, kým Rusko nestiahne jednotky z bývalých sovietskych republík Moldavsko a Gruzínsko.
0.8	súčasťou účelu plánu Spojených štátov je zvýšenie tlaku na severnú Kóreu.	the united states and the allies of the united states believe iran is pursuing nuclear arms.
0.4	Cchinvali je hlavným mestom Gruzínska.	Paríž je hlavným mestom Francúzska.
1.4	indický vládny úradník vyhlásil, že India neprikladá veľkú dôveryhodnosť správam amnesty international.	one indian government official who studied the blueprints stated the science was old and dated but still functional.
2.4	čínsky kabinet štátna rada oznámila, že zmení a doplní nariadenia o „dvojakom použití“ jadrovej technológie s cieľom zabrániť jadrovému terorizmu.	ktorým sa menia a dopĺňajú nariadenia o jadrovej technológii s dvojakým použitím zabráni jadrovému terorizmu.
1.2	japonský premiér junichiro koizumi uviedol, že posun tyčí bol proaktívny.	v roku 2002 sa japonský premiér junichiro koizumi zúčastnil na samite v severnej Kórei so severokórejským vodcom Kim Čong-il.
3.2	opozičná japonská komunistická strana bola proti novému zákonu a obávala sa, že to povedie k silnejšej armáde.	opozičná japonská komunistická strana bola proti návrhu zákona, ktorý navrhuje nový zákon.
3.6	niektorí predstavitelia aseanu uviedli, že takáto štandardizácia bude z dôvodu politických systémov rôznych krajín ťažká.	niektorí úradníci uviedli, že úloha bude pre členov asean ťažká z dôvodu rozdielnych právnych a politických systémov.
4	Irak loboval za to, aby rada bezpečnosti prestala využívať príjmy z ropy v krajine na vyplácanie kompenzácií obetiam vojny v Perzskom zálive v roku 1991 a platov inšpektorov monitorovacej, overovacej a inšpekčnej komisie Spojených štátov a aby všetky zvyšné peniaze zostali v rope spojenej krajiny - účty pre potraviny prevedené do vládneho rozvojového fondu.	Noví vodcovia Iraku lobujú za to, aby Rada bezpečnosti Spojených národov prestala využívať príjmy Iraku z ropy na vyplácanie miezd inšpektorov a aby všetky peniaze zostávajúce na účte OSN pre ropu za potraviny boli prevedené na irackú vládu.
2.2	musí sa zachovať kľúčová európska zmluva o kontrole zbraní.	zmluva o cfe je kľúčovou európskou zmluvou o kontrole zbraní.
2.6	oblasť zlatého trojuholníka bola jedným z najväčších svetových producentov ópia.	provincia Helmand je najväčším producentom ópia na svete.
2.2	spojené štáty zamietli akciu ako jadrové vydieranie.	Spojené štáty vyhlásili, že sa postaví proti jadrovému vydieraniu, a vylúčili rokovania.
2.8	the meeting was 3 days long. 	stretnutia trvali 2 dni.
3.6	ministri z Číny, Laosu, Indie, Mjanmarska a Thajska sa budú zaoberať aj iniciatívami zameranými na substitúciu plodín pre chudobné etnické menšiny, ktoré sa stále spoliehajú na pestovanie ópia.	ministri z Číny, Laosu, Indie, Mjanmarska a Thajska budú rokovať o tom, ako nájsť trhy pre tovar vyrobený v rámci substitúcie plodín a o ďalších súvisiacich programoch, ako je ekoturizmus a remeselná výroba.
3	Čína je jadrová energia a člen u.n. bezpečnostná rada.	china is a permanent member of the un security
2	severokórejskí úradníci sú podozriví z výroby jadrových zbraní.	north korea is currently in the process of dismantling its nuclear weapons program.
3.4	austrálsky televízny reportér Peter Lloyd čelí 3 novým obvineniam z drog v Singapure.	podľa súdnych dokumentov - 25. júla čelil austrálsky reportér televízie Peter Lloyd 3 novým obvineniam z drog v Singapure.
3	Prezident Vladimir Putin podpísal dekrét o pozastavení účasti Ruska v konvenčných silách na európskej zmluve.	ruský prezident Vladimir Putin podpísal dekrét o pozastavení účasti Ruska na konvenčných silách v európskej zmluve z dôvodu okolností, ktoré ovplyvňujú bezpečnosť ruskej federácie a ktoré si vyžadujú okamžité opatrenia.
2.6	podmienky vydania stanovujú, že tunisana možno stíhať iba na základe jediného obvinenia z falšovania dokumentov, ktoré môžu talianske orgány poskytnúť dostatočnými dôkazmi na stíhanie.	hovorca švajčiarskeho ministerstva spravodlivosti Folco Galli uviedol, že podmienky vydania stanovujú, že mejriho možno stíhať iba na základe jediného obvinenia z falšovania dokumentov, pre ktoré môžu talianske orgány poskytnúť dostatočné dôkazy.
3	verí sa, že útoky pochádzajú z ruských administratívnych IP adries v reakcii na premiestnenie sovietskej sochy do Estónska.	k útokom došlo po spore medzi vládami Ruska a Estónska o premiestnenie pamätníka sovietskej vojny.
2	India a Pakistan zostávajú mimo zmluvy.	israel remains outside the treaty.
0	Čína je členom klubu balistických rakiet.	Rusko je členom kvarteta na Blízkom východe.
4.4	Rusko môže odstúpiť od zmluvy, ak USA a ďalší spojenci nato odmietnu ratifikovať zmenenú a doplnenú verziu.	varoval, že Rusko odstúpi od zmluvy, ak západné štáty odmietnu ratifikovať jej zmenené a doplnené znenie.
0.4	this is particularly true in the poorest countries. 	bolo to najmä potom, čo Etiópia stiahla svoje sily.
3.6	Irán v posledných mesiacoch zjavne zvýšil počet popráv, keď úradníci presadzujú kampaň zameranú na podporu cností a zvýšenie bezpečnosti v	iránski úradníci zvýšili počet popráv v roku 2007, keď úradníci presadzujú kampaň zameranú údajne na podporu cností a zvyšovanie bezpečnosti v spoločnosti.
0.6	vo vyhlásení oficiálnej kúpeľnej tlačovej agentúry sa uvádzalo, že-- al-dosari bol odsúdený za obchodovanie s drogami.	násilník bol identifikovaný ako hossein safarlou a bol tiež odsúdený za obchodovanie s drogami.
1.8	both tajikistan and uzbekistan share a border with afghanistan and have experienced raids by taliban-backed islamic militants in recent years. 	susedný Kirgizsko tiež v posledných rokoch zažil nájazdy islamských militantov podporovaných talibanom.
1.8	Rusko uviedlo, že systém predstavuje jasnú hrozbu pre ruskú bezpečnosť.	je to vážna hrozba pre medzinárodnú bezpečnosť.
3	gang sa zapojil do nelegálnych aktivít vrátane vydierania, vydierania, pašovania zbraní, pašovania cigariet a prania špinavých peňazí a údajne použil výťažok na financovanie teroristických skupín v Čečensku.	Dáni uviedli, že gang sa zapojil do nelegálnych aktivít vrátane vydierania, vydierania, pašovania zbraní, pašovania cigariet a prania špinavých peňazí.
3.4	v štátnom vedeckom centre aplikovanej mikrobiológie existuje každý druh smrtiacich baktérií, ktoré boli študované na použitie v programe tajných biologických zbraní sovietskeho zväzu.	štátne vedecké stredisko aplikovanej mikrobiológie spolupracuje so západnými vedcami na premene komplexu na biomedicínske výrobné miesto.
1.2	medzinárodná agentúra pre atómovú energiu nemá prístup k ľuďom, dokumentom, stránkam.	medzinárodná agentúra pre atómovú energiu sídli v
0	kniha uvádza, že droga poskytuje úplne pozitívny obraz.	the official stated that this was a complete technology transfer.
1.4	40 väzňov si odpykáva trest za vraždu.	105 väzňov si odpykáva trest za obchodovanie s drogami.
2	russia is fulfilling obligations and decreasing forces. 	pozastavenie ruských záväzkov podľa zmluvy cfe je dočasné.
3.6	výkonný riaditeľ Združenia na kontrolu zbraní vo Washingtone Daryl Kimball uviedol, že-- správa iaea je 1 zo série zlých znakov.	výkonný riaditeľ Združenia na kontrolu zbraní vo Washingtone Daryl Kimball uviedol, že izraelský dokument by mohol ovplyvniť debatu o Indii.
4	the cfe is 1 of several issues negatively impacting russia's relations with the united states and europe. 	zmluva je jedným z niekoľkých problémov spôsobujúcich napäté vzťahy medzi ruskými vládami a u.s. a europe.
3.2	korobeynichev's laboratory worked with the u.s. lawrence livermore national laboratory. 	korobeynichevovo laboratórium spolupracovalo s inými vedeckými ústavmi.
1.8	lugar a nunn sú senátori.	lugar a nunn udelil predsedovi vlády medailu.
4	úradníci tvrdia, že rozhodnutie o zmluve bude závisieť od u.s. opatrenia na jej plány rozmiestnenia systémov protiraketovej obrany v Poľsku a Českej republike.	ruskí vojenskí predstavitelia uviedli, že rozhodnutie bude závisieť od toho, či Spojené štáty pokračujú v pláne rozmiestnenia komponentov protiraketovej obrany v Poľsku a Českej republike.
3	podpis dohody je okrajovou otázkou stretnutia náčelníkov štábov obrany z 26 spojeneckých krajín nato.	dohoda bola podpísaná počas pravidelného stretnutia náčelníkov obranných štábov z 26 spojencov nato.
3.6	začiatkom mája 2002 podpísali úradníci z Filipín, Malajzie a Indonézie protiteroristickú dohodu o zdieľaní zoznamov cestujúcich v leteckej doprave a ďalších spravodajských informácií.	in early may 2002 the philippines, malaysia and indonesia signed an agreement to share terrorism intelligence.
3.2	po prvom stretnutí vedúcich predstaviteľov európskej únie s lídrami z Albánska, Bosny a Hercegoviny, Chorvátska, Macedónska, Srbska a Čiernej Hory sa vodcovia krajín západného Balkánu zaväzujú znížiť organizovaný zločin a korupciu na Balkáne, aby splnili požiadavky členstva v Európskej únii .	vodcovia z Albánska, Bosny a Hercegoviny, Chorvátska, Makedónie, Srbska a Čiernej Hory sa po prvý raz stretli s vedúcimi predstaviteľmi Európskej únie, aby sa pokúsili vstúpiť do Európskej únie.
3.6	the resolution requires all 192 united nations member states to adopt laws to prevent terrorists, black marketeers and other non-state actors from manufacturing, acquiring or trafficking in nuclear, biological or chemical weapons or the materials to make them. 	rezolúcia 1540 vyžaduje, aby všetky krajiny prijali zákony, ktoré zabránia neštátnym subjektom vo výrobe, získavaní alebo obchodovaní s jadrovými, biologickými alebo chemickými zbraňami, materiálom na ich výrobu a raketami a inými systémami na ich dodanie.
2	medzinárodné združenie pre atómovú energiu uviedlo, že Jordánsko súhlasilo s ďalšími opatreniami.	medzinárodným združením pre atómovú energiu je strážny pes Spojených národov.
0.4	existuje veľa obáv z tejto drogy.	je potrebné urobiť ešte veľa práce.
3	medzinárodná správa o amnestii naznačila, že - Belgicko začne okamžité rozhovory s Indiou, aby sa zabránilo budúcemu predaju Alh, komponentov alebo vojenskej technológie Mjanmarsku.	v správe sa naliehalo na Belgicko, aby začalo okamžité rozhovory s Indiou s cieľom zabrániť budúcemu predaju zbraní Mjanmarsku.
3	Medzi hlavné trestné činy v Iráne patria vraždy, znásilnenie, ozbrojené lúpeže, odpadlíctvo, rúhanie, vážne obchodovanie s drogami, opakovaná sodomia, cudzoložstvo, prostitúcia, zrada a špionáž.	Medzi hlavné trestné činy v Iráne patria vraždy, znásilnenie, ozbrojené lúpeže, vážne obchodovanie s drogami a cudzoložstvo.
3.4	saudi arabia is an absolute monarchy that has taken steps towards reform. 	Saudská Arábia je absolútna monarchia a má poradnú radu menovanú vládou.
3	hovorca uviedol, že dôjde k výmene názorov na aktuálne medzinárodné a regionálne otázky na základe spoločného pracovného vzťahu v samom strede u.n. kamynin uviedol, že Rusko uznáva účasť Líbye na prácach u.n. bezpečnostná rada.	kamynin uviedol, že dôjde k výmene názorov na aktuálne medzinárodné a regionálne otázky na základe spoločného pracovného vzťahu v samom srdci OSN.
2.6	šalgámova návšteva v Londýne je prvou líbyjským ministrom zahraničných vecí od roku 1969.	a visit to libya by the russian foreign minister was announced.
1.8	indická a pakistanská vláda sa v roku 1999 takmer zapojili do štvrtého konfliktu.	v máji 1998 každá indická a pakistanská vláda uskutočnila jadrové testy.
3.8	iguaran uviedol, že zadržaní budú obvinení z vrážd, trestnej spolupráce, únosov a financovania terorizmu.	iguaran stated that the detainees were also involved in the murders of police members of an anti-kidnapping group.
2.4	3 podozriví extrémisti boli prepustení na kauciu.	1 podozrivý extrémista bol dočasne prepustený na slobodu bez kaucie.
0.8	Z obchodovania s ľudskými orgánmi je obvinených 6 zamestnancov českej nemocnice.	the accused will be charged with international drug trafficking.
2	to ešte viac zhoršilo situáciu.	north korea should not act further to aggravate the situation.
